mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Corredor,Corredor,16
c3:00:00:13:3b:b7,baseline,Corredor,Sala A,9
c3:00:00:13:3b:b7,baseline,Corredor,Sala B,15
c3:00:00:13:3b:b7,median,Corredor,Corredor,34
c3:00:00:13:3b:b7,median,Corredor,Sala A,4
c3:00:00:13:3b:b7,median,Corredor,Sala B,2
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Corredor,34
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Sala A,4
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Sala B,2
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Corredor,40
