mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Sala A,Corredor,18
c3:00:00:13:3b:b7,baseline,Sala A,Sala A,15
c3:00:00:13:3b:b7,baseline,Sala A,Sala B,18
c3:00:00:13:3b:b7,median,Sala A,Corredor,11
c3:00:00:13:3b:b7,median,Sala A,Sala A,39
c3:00:00:13:3b:b7,median,Sala A,Sala B,1
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Corredor,11
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Sala A,39
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Sala B,1
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,Corredor,6
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,Sala A,42
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,desconhecida,3
