time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-27 10:07:32,2026-08-27 10:07:30,43,3179874409,2026-08-27 10:07:32,server,c3:00:00:13:3b:b7,ESP-02,ff6de36e-a143-4069-9f32-e9c1fdd3f17d,EST2-A1-R5,static,A1,Sala A,-60,,,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-60.0,,,,False,False,False,False
2026-08-27 10:07:32,2026-08-27 10:07:30,947,2803322551,2026-08-27 10:07:32,server,c3:00:00:13:3b:b7,ESP-01,95cbddf5-c7f4-42ea-85bf-e3aca658d8d5,EST2-A1-R5,static,A1,Corredor,-74,,,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,True,False,True,True
2026-08-27 10:07:32,2026-08-27 10:07:30,1089,2780215821,2026-08-27 10:07:32,server,c3:00:00:13:3b:b7,ESP-03,1b1318ca-bca8-4ae2-98eb-7984ac613ba8,EST2-A1-R5,static,A1,Sala B,-92,,,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,False,True,True
2026-08-27 10:07:36,2026-08-27 10:07:34,1090,2780215821,2026-08-27 10:07:36,server,c3:00:00:13:3b:b7,ESP-03,0314aa79-f235-423e-94e3-7a5cdd33fd2b,EST2-A1-R5,static,A1,Sala B,-86,Sala A,centro_sala,Sala B,False,Sala B,True,Sala B,True,False,Sala B,-86.0,,,Sala A,False,False,False,False
2026-08-27 10:07:36,2026-08-27 10:07:34,44,3179874409,2026-08-27 10:07:36,server,c3:00:00:13:3b:b7,ESP-02,ff41af81-6411-457c-99f1-6d72121dce23,EST2-A1-R5,static,A1,Sala A,-68,Sala A,centro_sala,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-68.0,-86.0,18.0,Sala A,False,True,True,True
2026-08-27 10:07:36,2026-08-27 10:07:34,948,2803322551,2026-08-27 10:07:36,server,c3:00:00:13:3b:b7,ESP-01,f0138dd4-7e6e-4a59-ae79-af5f8e21ba37,EST2-A1-R5,static,A1,Corredor,-80,Sala A,centro_sala,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-68.0,-68.0,,Sala A,False,False,True,True
2026-08-27 10:07:40,2026-08-27 10:07:38,949,2803322551,2026-08-27 10:07:40,server,c3:00:00:13:3b:b7,ESP-01,2f41fc4d-492e-4723-958e-5f3116607546,EST2-A1-R5,static,A1,Corredor,-73,Sala A,centro_sala,Corredor,False,Corredor,True,Corredor,True,False,Corredor,-73.0,,,Sala A,False,False,False,False
2026-08-27 10:07:43,2026-08-27 10:07:41,950,2803322551,2026-08-27 10:07:43,server,c3:00:00:13:3b:b7,ESP-01,a80812a6-81c7-4615-be8d-da7a827004ad,EST2-A1-R5,static,A1,Corredor,-72,Sala A,centro_sala,Corredor,False,Corredor,False,Corredor,False,False,Corredor,-72.5,-72.5,,Corredor,True,True,True,True
2026-08-27 10:07:43,2026-08-27 10:07:41,46,3179874409,2026-08-27 10:07:43,server,c3:00:00:13:3b:b7,ESP-02,4843abe4-8d1d-4de8-8856-8915d0fd1951,EST2-A1-R5,static,A1,Sala A,-61,Sala A,centro_sala,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-61.0,-72.5,11.5,Corredor,False,False,False,False
2026-08-27 10:07:43,2026-08-27 10:07:41,1092,2780215821,2026-08-27 10:07:43,server,c3:00:00:13:3b:b7,ESP-03,26118505-775e-4b38-a5bd-b6a09a210185,EST2-A1-R5,static,A1,Sala B,-85,Sala A,centro_sala,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-61.0,-61.0,,Sala A,True,False,True,True
